At time 0, Job1 arrives.
At time 15627, Job134 finishes at disk1.
At time 8089, Job658 arrives.
At time 13039, Job134 exits from CPU.
At time 8104, Job659 arrives.
At time 13064, Job135 exits from CPU.
At time 8124, Job660 arrives.
At time 13092, Job136 exits from CPU.
At time 8142, Job661 arrives.
At time 15724, Job137 finishes at disk1.
At time 8161, Job662 arrives.
At time 13142, Job137 exits from CPU.
At time 8177, Job663 arrives.
At time 15780, Job138 finishes at disk1.
At time 8186, Job664 arrives.
At time 15802, Job138 finishes at disk1.
At time 8201, Job665 arrives.
At time 13201, Job138 exits from CPU.
At time 8208, Job666 arrives.
At time 15844, Job139 finishes at disk1.
At time 8225, Job667 arrives.
At time 15877, Job139 finishes at disk1.
At time 8243, Job668 arrives.
At time 13265, Job139 exits from CPU.
At time 8263, Job669 arrives.
At time 15937, Job140 finishes at disk1.
At time 8283, Job670 arrives.
At time 15971, Job140 finishes at disk1.
At time 8291, Job671 arrives.
At time 14613, Job140 finishes at network.
At time 8305, Job672 arrives.
At time 16014, Job140 finishes at disk1.
At time 8325, Job673 arrives.
At time 16045, Job140 finishes at disk1.
At time 8339, Job674 arrives.
At time 13403, Job140 exits from CPU.
At time 8349, Job675 arrives.
At time 16098, Job141 finishes at disk1.
At time 8365, Job676 arrives.
At time 16129, Job141 finishes at disk1.
At time 8381, Job677 arrives.
At time 14760, Job141 finishes at network.
At time 8399, Job678 arrives.
At time 14790, Job141 finishes at network.
At time 8415, Job679 arrives.
At time 16206, Job141 finishes at disk1.
At time 8420, Job680 arrives.
At time 14836, Job141 finishes at network.
At time 8430, Job681 arrives.
At time 14857, Job141 finishes at network.
At time 8448, Job682 arrives.
At time 14892, Job141 finishes at network.
At time 8458, Job683 arrives.
At time 16290, Job141 finishes at disk1.
At time 8477, Job684 arrives.
At time 16321, Job141 finishes at disk1.
At time 8488, Job685 arrives.
At time 16342, Job141 finishes at disk1.
At time 8494, Job686 arrives.
At time 14972, Job141 finishes at network.
At time 8499, Job687 arrives.
At time 13656, Job141 exits from CPU.
At time 8510, Job688 arrives.
At time 16395, Job142 finishes at disk1.
At time 8519, Job689 arrives.
At time 15027, Job142 finishes at network.
At time 8538, Job690 arrives.
At time 16444, Job142 finishes at disk1.
At time 8558, Job691 arrives.
At time 16480, Job142 finishes at disk1.
At time 8573, Job692 arrives.
At time 16510, Job142 finishes at disk1.
At time 8588, Job693 arrives.
At time 13788, Job142 exits from CPU.
At time 8598, Job694 arrives.
At time 13807, Job143 exits from CPU.
At time 8606, Job695 arrives.
At time 13821, Job144 exits from CPU.
At time 8613, Job696 arrives.
At time 16586, Job145 finishes at disk1.
At time 8631, Job697 arrives.
At time 15204, Job145 finishes at network.
At time 8650, Job698 arrives.
At time 13891, Job145 exits from CPU.
At time 8660, Job699 arrives.
At time 16661, Job146 finishes at disk1.
At time 8677, Job700 arrives.
At time 16693, Job146 finishes at disk1.
At time 8687, Job701 arrives.
At time 15299, Job146 finishes at network.
At time 8699, Job702 arrives.
At time 16737, Job146 finishes at disk1.
At time 8717, Job703 arrives.
At time 16769, Job146 finishes at disk1.
At time 8723, Job704 arrives.
At time 15359, Job146 finishes at network.
At time 8740, Job705 arrives.
At time 16815, Job146 finishes at disk1.
At time 8757, Job706 arrives.
At time 14055, Job146 exits from CPU.
At time 8763, Job707 arrives.
At time 14068, Job147 exits from CPU.
At time 8773, Job708 arrives.
At time 14084, Job148 exits from CPU.
At time 8791, Job709 arrives.
At time 16907, Job149 finishes at disk1.
At time 8800, Job710 arrives.
At time 16926, Job149 finishes at disk1.
At time 8809, Job711 arrives.
At time 16946, Job149 finishes at disk1.
At time 8821, Job712 arrives.
At time 16978, Job149 finishes at disk1.
At time 8835, Job713 arrives.
At time 17007, Job149 finishes at disk1.
At time 8847, Job714 arrives.
At time 17037, Job149 finishes at disk1.
At time 8860, Job715 arrives.
At time 17065, Job149 finishes at disk1.
At time 8870, Job716 arrives.
At time 15602, Job149 finishes at network.
At time 8877, Job717 arrives.
At time 15626, Job149 finishes at network.
At time 8890, Job718 arrives.
At time 14271, Job149 exits from CPU.
At time 8896, Job719 arrives.
At time 15667, Job150 finishes at network.
At time 8911, Job720 arrives.
At time 15694, Job150 finishes at network.
At time 8923, Job721 arrives.
At time 17182, Job150 finishes at disk1.
At time 8940, Job722 arrives.
At time 17214, Job150 finishes at disk1.
At time 8951, Job723 arrives.
At time 17239, Job150 finishes at disk1.
At time 8957, Job724 arrives.
At time 15782, Job150 finishes at network.
At time 8966, Job725 arrives.
At time 14405, Job150 exits from CPU.
At time 8971, Job726 arrives.
At time 17290, Job151 finishes at disk1.
At time 8979, Job727 arrives.
At time 17313, Job151 finishes at disk1.
At time 8998, Job728 arrives.
At time 17346, Job151 finishes at disk1.
At time 9008, Job729 arrives.
At time 15874, Job151 finishes at network.
At time 9018, Job730 arrives.
At time 17387, Job151 finishes at disk1.
At time 9032, Job731 arrives.
At time 17416, Job151 finishes at disk1.
At time 9050, Job732 arrives.
At time 14534, Job151 exits from CPU.
At time 9057, Job733 arrives.
At time 17459, Job152 finishes at disk1.
At time 9071, Job734 arrives.
At time 17493, Job152 finishes at disk1.
At time 9089, Job735 arrives.
At time 17525, Job152 finishes at disk1.
At time 9105, Job736 arrives.
At time 16025, Job152 finishes at network.
At time 9124, Job737 arrives.
At time 17580, Job152 finishes at disk1.
At time 9134, Job738 arrives.
At time 16077, Job152 finishes at network.
At time 9152, Job739 arrives.
At time 17634, Job152 finishes at disk1.
At time 9164, Job740 arrives.
At time 16129, Job152 finishes at network.
At time 9175, Job741 arrives.
At time 14732, Job152 exits from CPU.
At time 9190, Job742 arrives.
At time 17704, Job153 finishes at disk1.
At time 9207, Job743 arrives.
At time 17733, Job153 finishes at disk1.
At time 9220, Job744 arrives.
At time 16224, Job153 finishes at network.
At time 9240, Job745 arrives.
At time 17789, Job153 finishes at disk1.
At time 9250, Job746 arrives.
At time 17814, Job153 finishes at disk1.
At time 9268, Job747 arrives.
At time 14872, Job153 exits from CPU.
At time 9279, Job748 arrives.
At time 17860, Job154 finishes at disk1.
At time 9299, Job749 arrives.
At time 16350, Job154 finishes at network.
At time 9312, Job750 arrives.
At time 17922, Job154 finishes at disk1.
At time 9322, Job751 arrives.
At time 16395, Job154 finishes at network.
At time 9334, Job752 arrives.
At time 17968, Job154 finishes at disk1.
At time 9346, Job753 arrives.
At time 14999, Job154 exits from CPU.
At time 9353, Job754 arrives.
At time 18013, Job155 finishes at disk1.
At time 9370, Job755 arrives.
At time 15039, Job155 exits from CPU.
At time 9387, Job756 arrives.
At time 18068, Job156 finishes at disk1.
At time 9403, Job757 arrives.
At time 15085, Job156 exits from CPU.
At time 9410, Job758 arrives.
At time 16544, Job157 finishes at network.
At time 9420, Job759 arrives.
At time 18128, Job157 finishes at disk1.
At time 9435, Job760 arrives.
At time 18154, Job157 finishes at disk1.
At time 9444, Job761 arrives.
At time 18175, Job157 finishes at disk1.
At time 9453, Job762 arrives.
At time 16619, Job157 finishes at network.
At time 9461, Job763 arrives.
At time 16644, Job157 finishes at network.
At time 9480, Job764 arrives.
At time 18246, Job157 finishes at disk1.
At time 9500, Job765 arrives.
At time 18278, Job157 finishes at disk1.
At time 9513, Job766 arrives.
At time 18304, Job157 finishes at disk1.
At time 9526, Job767 arrives.
At time 18331, Job157 finishes at disk1.
At time 9539, Job768 arrives.
At time 15296, Job157 exits from CPU.
At time 9558, Job769 arrives.
At time 18383, Job158 finishes at disk1.
At time 9568, Job770 arrives.
At time 15338, Job158 exits from CPU.
At time 9577, Job771 arrives.
At time 18424, Job159 finishes at disk1.
At time 9597, Job772 arrives.
At time 16851, Job159 finishes at network.
At time 9605, Job773 arrives.
At time 15392, Job159 exits from CPU.
At time 9611, Job774 arrives.
At time 18483, Job160 finishes at disk1.
At time 9622, Job775 arrives.
At time 18512, Job160 finishes at disk1.
At time 9633, Job776 arrives.
At time 18538, Job160 finishes at disk1.
At time 9647, Job777 arrives.
At time 15467, Job160 exits from CPU.
At time 9662, Job778 arrives.
At time 16971, Job161 finishes at network.
At time 9669, Job779 arrives.
At time 18610, Job161 finishes at disk1.
At time 9675, Job780 arrives.
At time 18632, Job161 finishes at disk1.
At time 9689, Job781 arrives.
At time 18661, Job161 finishes at disk1.
At time 9707, Job782 arrives.
At time 15570, Job161 exits from CPU.
At time 9714, Job783 arrives.
At time 15585, Job162 exits from CPU.
At time 9725, Job784 arrives.
At time 18725, Job163 finishes at disk1.
At time 9733, Job785 arrives.
At time 17104, Job163 finishes at network.
At time 9747, Job786 arrives.
At time 18767, Job163 finishes at disk1.
At time 9752, Job787 arrives.
At time 18786, Job163 finishes at disk1.
At time 9762, Job788 arrives.
At time 18809, Job163 finishes at disk1.
At time 9781, Job789 arrives.
At time 15694, Job163 exits from CPU.
At time 9792, Job790 arrives.
At time 17209, Job164 finishes at network.
At time 9807, Job791 arrives.
At time 17240, Job164 finishes at network.
At time 9823, Job792 arrives.
At time 18903, Job164 finishes at disk1.
At time 9841, Job793 arrives.
At time 17291, Job164 finishes at network.
At time 9854, Job794 arrives.
At time 18952, Job164 finishes at disk1.
At time 9860, Job795 arrives.
At time 18973, Job164 finishes at disk1.
At time 9875, Job796 arrives.
At time 18999, Job164 finishes at disk1.
At time 9888, Job797 arrives.
At time 19030, Job164 finishes at disk1.
At time 9898, Job798 arrives.
At time 17386, Job164 finishes at network.
At time 9907, Job799 arrives.
At time 19071, Job164 finishes at disk1.
At time 9926, Job800 arrives.
At time 17444, Job164 finishes at network.
At time 9939, Job801 arrives.
At time 15939, Job164 exits from CPU.
At time 9950, Job802 arrives.
At time 17491, Job165 finishes at network.
At time 9962, Job803 arrives.
At time 19168, Job165 finishes at disk1.
At time 9967, Job804 arrives.
At time 17532, Job165 finishes at network.
At time 9975, Job805 arrives.
At time 19202, Job165 finishes at disk1.
At time 9987, Job806 arrives.
At time 19228, Job165 finishes at disk1.
At time 9996, Job807 arrives.
At time 16043, Job165 exits from CPU.
At time 10006, Job808 arrives.
At time 19269, Job166 finishes at disk1.
At time 10025, Job809 arrives.
At time 19303, Job166 finishes at disk1.
At time 10044, Job810 arrives.
At time 19339, Job166 finishes at disk1.
At time 10055, Job811 arrives.
At time 19367, Job166 finishes at disk1.
At time 10075, Job812 arrives.
At time 19398, Job166 finishes at disk1.
At time 10083, Job813 arrives.
At time 19420, Job166 finishes at disk1.
At time 10099, Job814 arrives.
At time 19451, Job166 finishes at disk1.
At time 10110, Job815 arrives.
At time 16222, Job166 exits from CPU.
At time 10115, Job816 arrives.
At time 16232, Job167 exits from CPU.
At time 10128, Job817 arrives.
At time 19507, Job168 finishes at disk1.
At time 10143, Job818 arrives.
At time 19538, Job168 finishes at disk1.
At time 10156, Job819 arrives.
At time 16296, Job168 exits from CPU.
At time 10166, Job820 arrives.
At time 17859, Job169 finishes at network.
At time 10173, Job821 arrives.
At time 19597, Job169 finishes at disk1.
At time 10183, Job822 arrives.
At time 17900, Job169 finishes at network.
At time 10188, Job823 arrives.
At time 19636, Job169 finishes at disk1.
At time 10193, Job824 arrives.
At time 19657, Job169 finishes at disk1.
At time 10207, Job825 arrives.
At time 19685, Job169 finishes at disk1.
At time 10219, Job826 arrives.
At time 19712, Job169 finishes at disk1.
At time 10238, Job827 arrives.
At time 16440, Job169 exits from CPU.
At time 10249, Job828 arrives.
At time 19763, Job170 finishes at disk1.
At time 10262, Job829 arrives.
At time 18040, Job170 finishes at network.
At time 10275, Job830 arrives.
At time 19811, Job170 finishes at disk1.
At time 10286, Job831 arrives.
At time 18088, Job170 finishes at network.
At time 10300, Job832 arrives.
At time 18119, Job170 finishes at network.
At time 10308, Job833 arrives.
At time 19872, Job170 finishes at disk1.
At time 10314, Job834 arrives.
At time 19894, Job170 finishes at disk1.
At time 10322, Job835 arrives.
At time 16580, Job170 exits from CPU.
At time 10327, Job836 arrives.
At time 19929, Job171 finishes at disk1.
At time 10333, Job837 arrives.
At time 18189, Job171 finishes at network.
At time 10351, Job838 arrives.
At time 19977, Job171 finishes at disk1.
At time 10368, Job839 arrives.
At time 16655, Job171 exits from CPU.
At time 10384, Job840 arrives.
At time 18275, Job172 finishes at network.
At time 10404, Job841 arrives.
At time 18309, Job172 finishes at network.
At time 10423, Job842 arrives.
At time 20088, Job172 finishes at disk1.
At time 10432, Job843 arrives.
At time 20117, Job172 finishes at disk1.
At time 10442, Job844 arrives.
At time 20142, Job172 finishes at disk1.
At time 10455, Job845 arrives.
At time 16794, Job172 exits from CPU.
At time 10468, Job846 arrives.
At time 20191, Job173 finishes at disk1.
At time 10487, Job847 arrives.
At time 20225, Job173 finishes at disk1.
At time 10494, Job848 arrives.
At time 18463, Job173 finishes at network.
At time 10503, Job849 arrives.
At time 20262, Job173 finishes at disk1.
At time 10520, Job850 arrives.
At time 20294, Job173 finishes at disk1.
At time 10528, Job851 arrives.
At time 20319, Job173 finishes at disk1.
At time 10544, Job852 arrives.
At time 20348, Job173 finishes at disk1.
At time 10556, Job853 arrives.
At time 18560, Job173 finishes at network.
At time 10563, Job854 arrives.
At time 20383, Job173 finishes at disk1.
At time 10582, Job855 arrives.
At time 18606, Job173 finishes at network.
At time 10600, Job856 arrives.
At time 17004, Job173 exits from CPU.
At time 10613, Job857 arrives.
At time 20458, Job174 finishes at disk1.
At time 10622, Job858 arrives.
At time 20481, Job174 finishes at disk1.
At time 10628, Job859 arrives.
At time 18685, Job174 finishes at network.
At time 10641, Job860 arrives.
At time 17072, Job174 exits from CPU.
At time 10654, Job861 arrives.
At time 18731, Job175 finishes at network.
At time 10659, Job862 arrives.
At time 20556, Job175 finishes at disk1.
At time 10672, Job863 arrives.
At time 20583, Job175 finishes at disk1.
At time 10681, Job864 arrives.
At time 18784, Job175 finishes at network.
At time 10691, Job865 arrives.
At time 18808, Job175 finishes at network.
At time 10700, Job866 arrives.
At time 20639, Job175 finishes at disk1.
At time 10714, Job867 arrives.
At time 20664, Job175 finishes at disk1.
At time 10732, Job868 arrives.
At time 18874, Job175 finishes at network.
At time 10743, Job869 arrives.
At time 20715, Job175 finishes at disk1.
At time 10753, Job870 arrives.
At time 20741, Job175 finishes at disk1.
At time 10768, Job871 arrives.
At time 20775, Job175 finishes at disk1.
At time 10779, Job872 arrives.
At time 20804, Job175 finishes at disk1.
At time 10795, Job873 arrives.
At time 20834, Job175 finishes at disk1.
At time 10813, Job874 arrives.
At time 19013, Job175 finishes at network.
At time 10822, Job875 arrives.
At time 20887, Job175 finishes at disk1.
At time 10827, Job876 arrives.
At time 19047, Job175 finishes at network.
At time 10836, Job877 arrives.
At time 17387, Job175 exits from CPU.
At time 10853, Job878 arrives.
At time 20948, Job176 finishes at disk1.
At time 10867, Job879 arrives.
At time 17437, Job176 exits from CPU.
At time 10873, Job880 arrives.
At time 20991, Job177 finishes at disk1.
At time 10878, Job881 arrives.
At time 21015, Job177 finishes at disk1.
At time 10892, Job882 arrives.
At time 21045, Job177 finishes at disk1.
At time 10910, Job883 arrives.
At time 21078, Job177 finishes at disk1.
At time 10926, Job884 arrives.
At time 21110, Job177 finishes at disk1.
At time 10945, Job885 arrives.
At time 21142, Job177 finishes at disk1.
At time 10955, Job886 arrives.
At time 21165, Job177 finishes at disk1.
At time 10965, Job887 arrives.
At time 21195, Job177 finishes at disk1.
At time 10971, Job888 arrives.
At time 19296, Job177 finishes at network.
At time 10978, Job889 arrives.
At time 21229, Job177 finishes at disk1.
At time 10985, Job890 arrives.
At time 19332, Job177 finishes at network.
At time 10997, Job891 arrives.
At time 21272, Job177 finishes at disk1.
At time 11010, Job892 arrives.
At time 21301, Job177 finishes at disk1.
At time 11028, Job893 arrives.
At time 19407, Job177 finishes at network.
At time 11043, Job894 arrives.
At time 21355, Job177 finishes at disk1.
At time 11052, Job895 arrives.
At time 21375, Job177 finishes at disk1.
At time 11062, Job896 arrives.
At time 19468, Job177 finishes at network.
At time 11081, Job897 arrives.
At time 17782, Job177 exits from CPU.
At time 11088, Job898 arrives.
At time 21439, Job178 finishes at disk1.
At time 11101, Job899 arrives.
At time 21465, Job178 finishes at disk1.
At time 11108, Job900 arrives.
At time 21488, Job178 finishes at disk1.
At time 11126, Job901 arrives.
At time 17856, Job178 exits from CPU.
At time 11146, Job902 arrives.
At time 21546, Job179 finishes at disk1.
At time 11154, Job903 arrives.
At time 21565, Job179 finishes at disk1.
At time 11173, Job904 arrives.
At time 21597, Job179 finishes at disk1.
At time 11182, Job905 arrives.
At time 21624, Job179 finishes at disk1.
At time 11191, Job906 arrives.
At time 21652, Job179 finishes at disk1.
At time 11208, Job907 arrives.
At time 17980, Job179 exits from CPU.
At time 11227, Job908 arrives.
At time 18007, Job180 exits from CPU.
At time 11242, Job909 arrives.
At time 21735, Job181 finishes at disk1.
At time 11258, Job910 arrives.
At time 19771, Job181 finishes at network.
At time 11277, Job911 arrives.
At time 21792, Job181 finishes at disk1.
At time 11290, Job912 arrives.
At time 21819, Job181 finishes at disk1.
At time 11303, Job913 arrives.
At time 21846, Job181 finishes at disk1.
At time 11314, Job914 arrives.
At time 19857, Job181 finishes at network.
At time 11321, Job915 arrives.
At time 21886, Job181 finishes at disk1.
At time 11334, Job916 arrives.
At time 21913, Job181 finishes at disk1.
At time 11339, Job917 arrives.
At time 19909, Job181 finishes at network.
At time 11354, Job918 arrives.
At time 21955, Job181 finishes at disk1.
At time 11369, Job919 arrives.
At time 21989, Job181 finishes at disk1.
At time 11376, Job920 arrives.
At time 22008, Job181 finishes at disk1.
At time 11389, Job921 arrives.
At time 19998, Job181 finishes at network.
At time 11406, Job922 arrives.
At time 22062, Job181 finishes at disk1.
At time 11413, Job923 arrives.
At time 22081, Job181 finishes at disk1.
At time 11432, Job924 arrives.
At time 22113, Job181 finishes at disk1.
At time 11443, Job925 arrives.
At time 22138, Job181 finishes at disk1.
At time 11449, Job926 arrives.
At time 22158, Job181 finishes at disk1.
At time 11458, Job927 arrives.
At time 22182, Job181 finishes at disk1.
At time 11470, Job928 arrives.
At time 20132, Job181 finishes at network.
At time 11477, Job929 arrives.
At time 18406, Job181 exits from CPU.
At time 11486, Job930 arrives.
At time 18421, Job182 exits from CPU.
At time 11504, Job931 arrives.
At time 20196, Job183 finishes at network.
At time 11509, Job932 arrives.
At time 18458, Job183 exits from CPU.
At time 11527, Job933 arrives.
At time 22299, Job184 finishes at disk1.
At time 11543, Job934 arrives.
At time 22329, Job184 finishes at disk1.
At time 11554, Job935 arrives.
At time 18525, Job184 exits from CPU.
At time 11559, Job936 arrives.
At time 22367, Job185 finishes at disk1.
At time 11578, Job937 arrives.
At time 20320, Job185 finishes at network.
At time 11590, Job938 arrives.
At time 18585, Job185 exits from CPU.
At time 11601, Job939 arrives.
At time 22438, Job186 finishes at disk1.
At time 11614, Job940 arrives.
At time 20385, Job186 finishes at network.
At time 11620, Job941 arrives.
At time 20403, Job186 finishes at network.
At time 11635, Job942 arrives.
At time 18659, Job186 exits from CPU.
At time 11646, Job943 arrives.
At time 22523, Job187 finishes at disk1.
At time 11657, Job944 arrives.
At time 18697, Job187 exits from CPU.
At time 11666, Job945 arrives.
At time 18713, Job188 exits from CPU.
At time 11676, Job946 arrives.
At time 20505, Job189 finishes at network.
At time 11684, Job947 arrives.
At time 18744, Job189 exits from CPU.
At time 11689, Job948 arrives.
At time 18757, Job190 exits from CPU.
At time 11695, Job949 arrives.
At time 20555, Job191 finishes at network.
At time 11707, Job950 arrives.
At time 20583, Job191 finishes at network.
At time 11713, Job951 arrives.
At time 22655, Job191 finishes at disk1.
At time 11720, Job952 arrives.
At time 22676, Job191 finishes at disk1.
At time 11737, Job953 arrives.
At time 22711, Job191 finishes at disk1.
At time 11749, Job954 arrives.
At time 22743, Job191 finishes at disk1.
At time 11763, Job955 arrives.
At time 22774, Job191 finishes at disk1.
At time 11770, Job956 arrives.
At time 20697, Job191 finishes at network.
At time 11790, Job957 arrives.
At time 20734, Job191 finishes at network.
At time 11808, Job958 arrives.
At time 20768, Job191 finishes at network.
At time 11827, Job959 arrives.
At time 18978, Job191 exits from CPU.
At time 11839, Job960 arrives.
At time 22892, Job192 finishes at disk1.
At time 11845, Job961 arrives.
At time 19013, Job192 exits from CPU.
At time 11862, Job962 arrives.
At time 20861, Job193 finishes at network.
At time 11879, Job963 arrives.
At time 19061, Job193 exits from CPU.
At time 11896, Job964 arrives.
At time 19088, Job194 exits from CPU.
At time 11915, Job965 arrives.
At time 23014, Job195 finishes at disk1.
At time 11934, Job966 arrives.
At time 19139, Job195 exits from CPU.
At time 11947, Job967 arrives.
At time 23062, Job196 finishes at disk1.
At time 11958, Job968 arrives.
At time 19176, Job196 exits from CPU.
At time 11973, Job969 arrives.
At time 19201, Job197 exits from CPU.
At time 11983, Job970 arrives.
At time 23127, Job198 finishes at disk1.
At time 11991, Job971 arrives.
At time 23146, Job198 finishes at disk1.
At time 11996, Job972 arrives.
At time 19243, Job198 exits from CPU.
At time 12014, Job973 arrives.
At time 23190, Job199 finishes at disk1.
At time 12027, Job974 arrives.
At time 23213, Job199 finishes at disk1.
At time 12037, Job975 arrives.
At time 21137, Job199 finishes at network.
At time 12055, Job976 arrives.
At time 19327, Job199 exits from CPU.
At time 12074, Job977 arrives.
At time 19351, Job200 exits from CPU.
At time 12090, Job978 arrives.
At time 23309, Job201 finishes at disk1.
At time 12098, Job979 arrives.
At time 23335, Job201 finishes at disk1.
At time 12104, Job980 arrives.
At time 23356, Job201 finishes at disk1.
At time 12109, Job981 arrives.
At time 23373, Job201 finishes at disk1.
At time 12118, Job982 arrives.
At time 21272, Job201 finishes at network.
At time 12129, Job983 arrives.
At time 19450, Job201 exits from CPU.
At time 12137, Job984 arrives.
At time 23432, Job202 finishes at disk1.
At time 12152, Job985 arrives.
At time 23462, Job202 finishes at disk1.
At time 12157, Job986 arrives.
At time 23483, Job202 finishes at disk1.
At time 12168, Job987 arrives.
At time 23508, Job202 finishes at disk1.
At time 12181, Job988 arrives.
At time 21389, Job202 finishes at network.
At time 12186, Job989 arrives.
At time 19551, Job202 exits from CPU.
At time 12203, Job990 arrives.
At time 19577, Job203 exits from CPU.
At time 12210, Job991 arrives.
At time 23590, Job204 finishes at disk1.
At time 12224, Job992 arrives.
At time 23620, Job204 finishes at disk1.
At time 12244, Job993 arrives.
At time 23654, Job204 finishes at disk1.
At time 12260, Job994 arrives.
At time 23685, Job204 finishes at disk1.
At time 12278, Job995 arrives.
At time 19690, Job204 exits from CPU.
At time 12293, Job996 arrives.
At time 23740, Job205 finishes at disk1.
At time 12308, Job997 arrives.
At time 21589, Job205 finishes at network.
At time 12327, Job998 arrives.
At time 23797, Job205 finishes at disk1.
At time 12343, Job999 arrives.
At time 23830, Job205 finishes at disk1.
At time 12360, Job1000 arrives.
At time 19807, Job205 exits from CPU.
At time 12370, Job1001 arrives.
At time 23877, Job206 finishes at disk1.
At time 12390, Job1002 arrives.
At time 23915, Job206 finishes at disk1.
At time 12395, Job1003 arrives.
At time 23938, Job206 finishes at disk1.
At time 12403, Job1004 arrives.
At time 21748, Job206 finishes at network.
At time 12408, Job1005 arrives.
At time 19895, Job206 exits from CPU.
At time 12416, Job1006 arrives.
At time 23995, Job207 finishes at disk1.
At time 12427, Job1007 arrives.
At time 24022, Job207 finishes at disk1.
At time 12446, Job1008 arrives.
At time 24060, Job207 finishes at disk1.
At time 12462, Job1009 arrives.
At time 24087, Job207 finishes at disk1.
At time 12470, Job1010 arrives.
At time 19993, Job207 exits from CPU.
At time 12479, Job1011 arrives.
At time 20011, Job208 exits from CPU.
At time 12495, Job1012 arrives.
At time 21912, Job209 finishes at network.
At time 12503, Job1013 arrives.
At time 24163, Job209 finishes at disk1.
At time 12515, Job1014 arrives.
At time 24187, Job209 finishes at disk1.
At time 12521, Job1015 arrives.
At time 20081, Job209 exits from CPU.
At time 12526, Job1016 arrives.
At time 20094, Job210 exits from CPU.
At time 12542, Job1017 arrives.
At time 22002, Job211 finishes at network.
At time 12553, Job1018 arrives.
At time 24266, Job211 finishes at disk1.
At time 12563, Job1019 arrives.
At time 22041, Job211 finishes at network.
At time 12582, Job1020 arrives.
At time 24315, Job211 finishes at disk1.
At time 12590, Job1021 arrives.
At time 20191, Job211 exits from CPU.
At time 12606, Job1022 arrives.
At time 22115, Job212 finishes at network.
At time 12621, Job1023 arrives.
At time 20237, Job212 exits from CPU.
At time 12637, Job1024 arrives.
At time 20259, Job213 exits from CPU.
At time 12657, Job1025 arrives.
At time 24438, Job214 finishes at disk1.
At time 12669, Job1026 arrives.
At time 24468, Job214 finishes at disk1.
At time 12677, Job1027 arrives.
At time 20326, Job214 exits from CPU.
At time 12682, Job1028 arrives.
At time 20338, Job215 exits from CPU.
At time 12692, Job1029 arrives.
At time 20357, Job216 exits from CPU.
At time 12705, Job1030 arrives.
At time 22286, Job217 finishes at network.
At time 12717, Job1031 arrives.
At time 20394, Job217 exits from CPU.
At time 12729, Job1032 arrives.
At time 20414, Job218 exits from CPU.
At time 12734, Job1033 arrives.
At time 24591, Job219 finishes at disk1.
At time 12750, Job1034 arrives.
At time 24619, Job219 finishes at disk1.
At time 12756, Job1035 arrives.
At time 20460, Job219 exits from CPU.
At time 12774, Job1036 arrives.
At time 22405, Job220 finishes at network.
At time 12790, Job1037 arrives.
At time 22437, Job220 finishes at network.
At time 12801, Job1038 arrives.
At time 22464, Job220 finishes at network.
At time 12811, Job1039 arrives.
At time 24728, Job220 finishes at disk1.
At time 12821, Job1040 arrives.
At time 20566, Job220 exits from CPU.
At time 12829, Job1041 arrives.
At time 24768, Job221 finishes at disk1.
At time 12843, Job1042 arrives.
At time 22549, Job221 finishes at network.
At time 12852, Job1043 arrives.
At time 24813, Job221 finishes at disk1.
At time 12867, Job1044 arrives.
At time 24843, Job221 finishes at disk1.
At time 12886, Job1045 arrives.
At time 24878, Job221 finishes at disk1.
At time 12896, Job1046 arrives.
At time 24905, Job221 finishes at disk1.
At time 12916, Job1047 arrives.
At time 24939, Job221 finishes at disk1.
At time 12934, Job1048 arrives.
At time 20736, Job221 exits from CPU.
At time 12948, Job1049 arrives.
At time 24990, Job222 finishes at disk1.
At time 12955, Job1050 arrives.
At time 22725, Job222 finishes at network.
At time 12965, Job1051 arrives.
At time 20790, Job222 exits from CPU.
At time 12985, Job1052 arrives.
At time 20815, Job223 exits from CPU.
At time 12996, Job1053 arrives.
At time 22795, Job224 finishes at network.
At time 13008, Job1054 arrives.
At time 25102, Job224 finishes at disk1.
At time 13015, Job1055 arrives.
At time 20869, Job224 exits from CPU.
At time 13032, Job1056 arrives.
At time 25147, Job225 finishes at disk1.
At time 13038, Job1057 arrives.
At time 22874, Job225 finishes at network.
At time 13055, Job1058 arrives.
At time 25190, Job225 finishes at disk1.
At time 13069, Job1059 arrives.
At time 22930, Job225 finishes at network.
At time 13087, Job1060 arrives.
At time 20976, Job225 exits from CPU.
At time 13097, Job1061 arrives.
At time 20992, Job226 exits from CPU.
At time 13102, Job1062 arrives.
At time 21003, Job227 exits from CPU.
At time 13111, Job1063 arrives.
At time 25289, Job228 finishes at disk1.
At time 13119, Job1064 arrives.
At time 23024, Job228 finishes at network.
At time 13130, Job1065 arrives.
At time 25331, Job228 finishes at disk1.
At time 13141, Job1066 arrives.
At time 25357, Job228 finishes at disk1.
At time 13158, Job1067 arrives.
At time 23091, Job228 finishes at network.
At time 13168, Job1068 arrives.
At time 25404, Job228 finishes at disk1.
At time 13185, Job1069 arrives.
At time 23138, Job228 finishes at network.
At time 13204, Job1070 arrives.
At time 21166, Job228 exits from CPU.
At time 13220, Job1071 arrives.
At time 23196, Job229 finishes at network.
At time 13236, Job1072 arrives.
At time 25515, Job229 finishes at disk1.
At time 13256, Job1073 arrives.
At time 23252, Job229 finishes at network.
At time 13271, Job1074 arrives.
At time 21266, Job229 exits from CPU.
